Depth,Training Accuracy,Validation Accuracy
1,0.5014285714285714,0.49666666666666665
2,0.9669285714285715,0.9663333333333334
3,0.9669285714285715,0.9663333333333334
4,0.967,0.9663333333333334
5,0.9679285714285715,0.9645
6,0.9693571428571428,0.9658333333333333
7,0.9703571428571428,0.9655
8,0.9727142857142858,0.9648333333333333
9,0.9746428571428571,0.9621666666666666
10,0.977,0.9628333333333333
11,0.9797142857142858,0.9616666666666667
12,0.9815714285714285,0.9603333333333334
13,0.9840714285714286,0.9588333333333333
14,0.9862142857142857,0.9566666666666667
15,0.9880714285714286,0.9551666666666667
16,0.9895714285714285,0.9555
17,0.992,0.9523333333333334
18,0.9932142857142857,0.9536666666666667
19,0.9950714285714286,0.953
